Station Name,mean_duration,std_duration,median_duration,p95_duration,p99_duration,total_duration,n
.BAGHAJATIN,1.0,0.0,1.0,1.0,1.0,217.0,217
ABADA,1.0,0.0,1.0,1.0,1.0,90.0,90
ABHAIPUR,1.0,0.0,1.0,1.0,1.0,62.0,62
ABHANPUR JN.,6.916667,5.991787,7.5,15.0,15.0,83.0,12
ABHAYAPURI A,1.0,0.0,1.0,1.0,1.0,6.0,6
ABJUGANJ,1.0,0.0,1.0,1.0,1.0,6.0,6
ABOHAR,2.642857,3.860669,2.0,8.25,17.3,74.0,28
ABU ROAD,11.69,7.23026,10.0,20.0,55.0,1169.0,100
ABUTARA HALT,1.0,0.0,1.0,1.0,1.0,6.0,6
ACHAL GANJ,1.0,0.0,1.0,1.0,1.0,6.0,6
ACHALDA,1.4,0.516398,1.0,2.0,2.0,14.0,10
ACHARYA NARE,1.071429,0.267261,1.0,1.35,1.87,15.0,14
ACHEGAON,1.0,0.0,1.0,1.0,1.0,6.0,6
ACHHNERA JN.,34.961538,195.386792,2.0,25.0,706.1,1818.0,52
ADALPAHARI,1.0,,1.0,1.0,1.0,1.0,1
ADAPUR,2.0,0.0,2.0,2.0,2.0,16.0,8
ADARKI,1.0,0.0,1.0,1.0,1.0,4.0,4
ADARSH NAGAR,1.12,0.331662,1.0,2.0,2.0,28.0,25
ADARSHNAGAR,1.0,0.0,1.0,1.0,1.0,2.0,2
ADAS ROAD,1.055556,0.235702,1.0,1.15,1.83,19.0,18
ADAVALI,1.25,0.46291,1.0,2.0,2.0,10.0,8
ADESAR,2.0,0.0,2.0,2.0,2.0,12.0,6
ADHARTAL,1.666667,0.492366,2.0,2.0,2.0,20.0,12
ADHIKARI,1.625,0.517549,2.0,2.0,2.0,13.0,8
ADHINPUR,1.0,0.0,1.0,1.0,1.0,6.0,6
ADHYATMIK NA,1.0,0.0,1.0,1.0,1.0,6.0,6
ADI SAPTAGRA,1.0,0.0,1.0,1.0,1.0,65.0,65
ADICHUNCHUNA,1.0,0.0,1.0,1.0,1.0,2.0,2
ADIHALLI,1.0,0.0,1.0,1.0,1.0,8.0,8
ADILABAD,2.894737,3.034885,5.0,5.5,9.1,55.0,19
ADINA,1.5,0.518875,1.5,2.0,2.0,21.0,14
ADIPUR,2.0,0.0,2.0,2.0,2.0,28.0,14
ADITYAPUR,1.0,0.0,1.0,1.0,1.0,28.0,28
ADONI,1.631579,0.522069,2.0,2.0,2.44,93.0,57
ADRA,7.843137,9.264801,5.0,29.75,39.95,800.0,102
ADRAJ MOTI,853.75,269.949841,855.0,1089.25,1089.85,3415.0,4
ADRI ROAD,1.0,0.0,1.0,1.0,1.0,6.0,6
ADUTHURAI,1.0,0.0,1.0,1.0,1.0,20.0,20
AGARAM SIBBA,1.0,0.0,1.0,1.0,1.0,6.0,6
AGARPARA,1.0,0.0,1.0,1.0,1.0,210.0,210
AGARTALA,0.0,0.0,0.0,0.0,0.0,0.0,16
AGAS,1.0,0.0,1.0,1.0,1.0,16.0,16
AGASOD,2.0,0.0,2.0,2.0,2.0,8.0,4
AGAUTHAR HAL,1.0,0.0,1.0,1.0,1.0,4.0,4
AGHWANPUR,1.5,0.547723,1.5,2.0,2.0,9.0,6
AGOMONI,1.0,0.0,1.0,1.0,1.0,6.0,6
AGORI KHAS,2.0,0.0,2.0,2.0,2.0,16.0,8
AGRA  FORT,10.517241,9.304293,10.0,25.0,25.0,610.0,58
AGRA CANTT,10.528409,77.432878,5.0,7.5,26.25,1853.0,176
AGRA CITY,1.333333,0.516398,1.0,2.0,2.0,8.0,6
AGRADWIP,1.0,0.0,1.0,1.0,1.0,40.0,40
AGRAN DHULGA,1.0,0.0,1.0,1.0,1.0,4.0,4
AGSAULI,1.75,0.46291,2.0,2.0,2.0,14.0,8
AGTHORI,1.166667,0.408248,1.0,1.75,1.95,7.0,6
AHALYAPUR F,1.125,0.353553,1.0,1.65,1.93,9.0,8
AHERA,1.0,0.0,1.0,1.0,1.0,24.0,24
AHERWADI H,1.0,0.0,1.0,1.0,1.0,5.0,5
AHIMANPUR,1.666667,0.5,2.0,2.0,2.0,15.0,9
AHIRAN H,1.0,0.0,1.0,1.0,1.0,16.0,16
AHIRAULI (HA,1.0,0.0,1.0,1.0,1.0,10.0,10
AHJU,2.0,0.0,2.0,2.0,2.0,8.0,4
AHMADNAGAR,3.365079,0.866986,3.0,5.0,5.0,212.0,63
AHMADPUR JN.,1.130435,0.340503,1.0,2.0,2.0,52.0,46
AHMED GARH,1.947368,0.524265,2.0,3.0,3.0,37.0,19
AHMEDABAD,29.87541,141.185759,10.0,30.0,973.4,9112.0,305
AHMEDABAD JN,804.166667,382.680241,815.0,1250.0,1302.0,4825.0,6
AHRAURA ROAD,1.333333,0.516398,1.0,2.0,2.0,8.0,6
AIGAWAN,1.7,0.483046,2.0,2.0,2.0,17.0,10
AILAM HALT,72.9,321.546575,1.0,72.9,1165.78,1458.0,20
AISHBAGH,1.571429,0.534522,2.0,2.0,2.0,11.0,7
AIT JN,1.166667,1.00722,2.0,2.0,2.0,28.0,24
AITHAL,1.833333,0.389249,2.0,2.0,2.0,22.0,12
AIYANAPURAM,1.0,0.0,1.0,1.0,1.0,2.0,2
AJAIBPUR,1.045455,0.213201,1.0,1.0,1.79,23.0,22
AJAKOLLU HAL,1.0,0.0,1.0,1.0,1.0,6.0,6
AJAMPUR,1.0,0.0,1.0,1.0,1.0,16.0,16
AJARKA,1.0,0.0,1.0,1.0,1.0,6.0,6
AJGAIN,1.0,0.0,1.0,1.0,1.0,28.0,28
AJHAI,1.1,0.316228,1.0,1.55,1.91,11.0,10
AJHARAIL,1.0,0.0,1.0,1.0,1.0,7.0,7
AJIT,1.555556,0.527046,2.0,2.0,2.0,14.0,9
AJIT GILL MA,1.0,0.0,1.0,1.0,1.0,10.0,10
AJITWAL,1.666667,0.492366,2.0,2.0,2.0,20.0,12
AJMER JN.,19.139535,98.692051,10.0,30.0,296.8,2469.0,129
AJNI,45.0,228.831984,1.0,2.0,881.12,1215.0,27
AJNOD,2.0,0.0,2.0,2.0,2.0,16.0,8
AKAIPUR H,1.0,0.0,1.0,1.0,1.0,31.0,31
AKALKOT ROAD,1.333333,0.492366,1.0,2.0,2.0,16.0,12
AKALTARA,1.978261,0.147442,2.0,2.0,2.0,91.0,46
AKANAPET,1.0,0.0,1.0,1.0,1.0,24.0,24
AKASHI  PH,1.0,0.0,1.0,1.0,1.0,7.0,7
AKATHAMURI,1.0,0.0,1.0,1.0,1.0,8.0,8
AKBAR GANJ,1.071429,0.267261,1.0,1.35,1.87,15.0,14
AKBARNAGAR,1.0,0.0,1.0,1.0,1.0,30.0,30
AKBARPUR JN.,2.380952,0.794873,2.0,4.0,4.0,100.0,42
AKELA HANSPU,1.0,0.0,1.0,1.0,1.0,8.0,8
AKIVIDU,1.341463,0.480091,1.0,2.0,2.0,55.0,41
AKKAMPET,1.041667,0.204124,1.0,1.0,1.77,25.0,24
AKKARAIPPATT,1.0,0.0,1.0,1.0,1.0,6.0,6
AKKIHEBBALU,1.0,0.0,1.0,1.0,1.0,10.0,10
AKODIA,1.25,0.444262,1.0,2.0,2.0,25.0,20
AKOLA JN.,5.253731,2.373686,5.0,10.0,10.0,704.0,134
AKOLNER,1.833333,0.408248,2.0,2.0,2.0,11.0,6
AKONA,2.5,0.707107,2.5,2.95,2.99,5.0,2
AKRA,1.0,0.0,1.0,1.0,1.0,62.0,62
AKSHAYWAT RA,1.333333,0.485071,1.0,2.0,2.0,24.0,18
AKURDI,1.041667,0.201941,1.0,1.0,2.0,50.0,48
ALAI,1.0,0.0,1.0,1.0,1.0,4.0,4
ALAKKUDI,1.0,0.0,1.0,1.0,1.0,24.0,24
ALAL,1.5,0.534522,1.5,2.0,2.0,12.0,8
ALAM NAGAR,1.275862,0.454859,1.0,2.0,2.0,37.0,29
ALAM PUR ROA,1.0,0.0,1.0,1.0,1.0,6.0,6
ALAMANDA,1.526316,0.512989,2.0,2.0,2.0,29.0,19
ALAMPUR,1.0,0.0,1.0,1.0,1.0,12.0,12
ALANDI,1.0,0.0,1.0,1.0,1.0,4.0,4
