transaction_id,customer_id,transaction_date,transaction_amount,payment_mode,transaction_amount_orig,amount_category,transaction_date_parsed,transaction_month
t0001,c104,2025-01-22,2291.0,wallet,2291,Low,2025-01-22,1
t0002,c137,2025-01-04,9897.0,wallet,9897,High,2025-01-04,1
t0003,c007,2025-01-11,7222.0,card,7222,Medium,2025-01-11,1
t0004,c119,2025-01-24,4462.0,netbanking,4462,Medium,2025-01-24,1
t0005,c084,2025-01-28,5555.0,upi,5555,Medium,2025-01-28,1
t0006,c098,2025-02-05,4333.0,cash,4333,Medium,2025-02-05,2
t0007,c121,2025-01-03,1053.0,upi,1053,Low,2025-01-03,1
t0008,c058,2025-03-25,859.0,cash,859,Low,2025-03-25,3
t0009,c064,2025-01-26,2696.0,card,2696,Medium,2025-01-26,1
t0010,c033,2025-03-02,9440.0,card,9440,High,2025-03-02,3
t0011,c120,2025-03-31,6243.0,card,6243,Medium,2025-03-31,3
t0012,c030,2025-01-21,1971.0,wallet,1971,Low,2025-01-21,1
t0013,c007,2025-02-09,6349.0,netbanking,6349,Medium,2025-02-09,2
t0014,c051,2025-01-10,4178.0,cash,4178,Medium,2025-01-10,1
t0015,c078,2025-03-29,2183.0,wallet,2183,Low,2025-03-29,3
t0016,c011,2025-02-14,7218.0,upi,7218,Medium,2025-02-14,2
t0017,c018,2025-03-06,5790.0,cash,5790,Medium,2025-03-06,3
t0018,c108,2025-03-04,7302.0,upi,7302,Medium,2025-03-04,3
t0019,c118,2025-01-20,3085.0,wallet,3085,Medium,2025-01-20,1
t0020,c070,2025-03-20,8121.0,netbanking,8121,High,2025-03-20,3
t0021,c112,2025-03-17,5480.0,card,5480,Medium,2025-03-17,3
t0022,c023,2025-02-05,4195.0,netbanking,4195,Medium,2025-02-05,2
t0023,c146,2025-03-20,5711.0,cash,5711,Medium,2025-03-20,3
t0024,c127,2025-02-11,8188.0,card,8188,High,2025-02-11,2
t0025,c091,2025-02-03,4781.0,wallet,4781,Medium,2025-02-03,2
t0026,c071,2025-03-13,8664.0,card,8664,High,2025-03-13,3
t0027,c022,2025-01-31,8204.0,wallet,8204,High,2025-01-31,1
t0028,c062,2025-03-30,8241.0,netbanking,8241,High,2025-03-30,3
t0029,c005,2025-01-12,3830.0,netbanking,3830,Medium,2025-01-12,1
t0030,c063,2025-02-09,6246.0,netbanking,6246,Medium,2025-02-09,2
t0031,c142,2025-03-09,7171.0,wallet,7171,Medium,2025-03-09,3
t0032,c085,2025-02-15,4638.0,upi,4638,Medium,2025-02-15,2
t0033,c065,2025-01-30,3355.0,upi,3355,Medium,2025-01-30,1
t0034,c031,2025-03-10,3338.0,card,3338,Medium,2025-03-10,3
t0035,c124,2025-02-05,8795.0,wallet,8795,High,2025-02-05,2
t0036,c073,2025-01-13,5053.0,card,5053,Medium,2025-01-13,1
t0037,c093,2025-01-23,431.0,wallet,431,Low,2025-01-23,1
t0038,c033,2025-02-05,1093.0,wallet,1093,Low,2025-02-05,2
t0039,c075,2025-03-31,8242.0,cash,8242,High,2025-03-31,3
t0040,c004,2025-03-15,7890.0,netbanking,7890,High,2025-03-15,3
t0041,c113,2025-02-13,1041.0,upi,1041,Low,2025-02-13,2
t0042,c123,2025-01-15,6765.0,netbanking,6765,Medium,2025-01-15,1
t0043,c019,2025-03-15,1078.0,card,1078,Low,2025-03-15,3
t0044,c039,2025-03-14,1595.0,card,1595,Low,2025-03-14,3
t0045,c031,2025-03-13,9966.0,wallet,9966,High,2025-03-13,3
t0046,c058,2025-03-08,7581.0,netbanking,7581,High,2025-03-08,3
t0047,c077,2025-03-17,5203.0,wallet,5203,Medium,2025-03-17,3
t0048,c016,2025-03-20,3604.0,card,3604,Medium,2025-03-20,3
t0049,c068,2025-03-26,2773.0,card,2773,Medium,2025-03-26,3
t0050,c045,2025-03-12,2764.0,cash,2764,Medium,2025-03-12,3
t0051,c105,2025-02-27,7899.0,upi,7899,High,2025-02-27,2
t0052,c009,2025-01-30,4832.0,netbanking,4832,Medium,2025-01-30,1
t0053,c019,2025-03-29,4534.0,wallet,4534,Medium,2025-03-29,3
t0054,c051,2025-02-24,9122.0,card,9122,High,2025-02-24,2
t0055,c039,2025-02-04,1369.0,cash,1369,Low,2025-02-04,2
t0056,c043,2025-02-09,9525.0,upi,9525,High,2025-02-09,2
t0057,c113,2025-01-16,5182.0,netbanking,5182,Medium,2025-01-16,1
t0058,c070,2025-03-06,8290.0,netbanking,8290,High,2025-03-06,3
t0059,c021,2025-03-18,7278.0,upi,7278,Medium,2025-03-18,3
t0060,c065,2025-01-04,3950.0,wallet,3950,Medium,2025-01-04,1
t0061,c001,2025-01-03,9641.0,cash,9641,High,2025-01-03,1
t0062,c045,2025-03-02,7445.0,upi,7445,Medium,2025-03-02,3
t0063,c047,2025-03-16,8256.0,cash,8256,High,2025-03-16,3
