customer_id,transaction_id,transaction_date,transaction_amount,payment_mode,transaction_amount_orig,amount_category,transaction_date_parsed,transaction_month,customer_name,city,status,city_original
c104,t0001,2025-01-22,2291.0,wallet,2291,Low,2025-01-22,1,Customer_104,Mumbai,active,MUMBAI
c137,t0002,2025-01-04,9897.0,wallet,9897,High,2025-01-04,1,Customer_137,Hyderabad,active,Hyderabad
c007,t0003,2025-01-11,7222.0,card,7222,Medium,2025-01-11,1,Customer_007,Kochi,active,Kochi
c119,t0004,2025-01-24,4462.0,netbanking,4462,Medium,2025-01-24,1,Customer_119,Coimbatore,inactive,Coimbatore
c084,t0005,2025-01-28,5555.0,upi,5555,Medium,2025-01-28,1,Customer_084,Trivandrum,active,Trivandrum
c098,t0006,2025-02-05,4333.0,cash,4333,Medium,2025-02-05,2,Customer_098,Coimbatore,active,Coimbatore
c121,t0007,2025-01-03,1053.0,upi,1053,Low,2025-01-03,1,Customer_121,Hyderabad,active,Hyderabad
c058,t0008,2025-03-25,859.0,cash,859,Low,2025-03-25,3,Customer_058,Trivandrum,active,trivandrm
c064,t0009,2025-01-26,2696.0,card,2696,Medium,2025-01-26,1,Customer_064,Coimbatore,active,Coimbatore
c033,t0010,2025-03-02,9440.0,card,9440,High,2025-03-02,3,Customer_033,Kochi,active,Kochi
c120,t0011,2025-03-31,6243.0,card,6243,Medium,2025-03-31,3,Customer_120,Hyderabad,active,Hyderabad
c030,t0012,2025-01-21,1971.0,wallet,1971,Low,2025-01-21,1,Customer_030,Chennai,active,Chennai
c007,t0013,2025-02-09,6349.0,netbanking,6349,Medium,2025-02-09,2,Customer_007,Kochi,active,Kochi
c051,t0014,2025-01-10,4178.0,cash,4178,Medium,2025-01-10,1,Customer_051,Trivandrum,active,Trivandrum
c078,t0015,2025-03-29,2183.0,wallet,2183,Low,2025-03-29,3,Customer_078,Trivandrum,inactive,Trivandrum
c011,t0016,2025-02-14,7218.0,upi,7218,Medium,2025-02-14,2,Customer_011,Mumbai,inactive,Mumbai
c018,t0017,2025-03-06,5790.0,cash,5790,Medium,2025-03-06,3,Customer_018,Hyderabad,active,Hyderabad
c108,t0018,2025-03-04,7302.0,upi,7302,Medium,2025-03-04,3,Customer_108,Pune,active,Pune
c118,t0019,2025-01-20,3085.0,wallet,3085,Medium,2025-01-20,1,Customer_118,Hyderabad,active,Hyderabad
c070,t0020,2025-03-20,8121.0,netbanking,8121,High,2025-03-20,3,Customer_070,Chennai,active,Chennai
c112,t0021,2025-03-17,5480.0,card,5480,Medium,2025-03-17,3,Customer_112,Coimbatore,active,Coimbatore
c023,t0022,2025-02-05,4195.0,netbanking,4195,Medium,2025-02-05,2,Customer_023,Coimbatore,active,Coimbatore
c146,t0023,2025-03-20,5711.0,cash,5711,Medium,2025-03-20,3,Customer_146,Coimbatore,inactive,Coimbatore
c127,t0024,2025-02-11,8188.0,card,8188,High,2025-02-11,2,Customer_127,Kochi,active,koChi
c091,t0025,2025-02-03,4781.0,wallet,4781,Medium,2025-02-03,2,Customer_091,Hyderabad,active,HYDERABAD
c071,t0026,2025-03-13,8664.0,card,8664,High,2025-03-13,3,Customer_071,Chennai,active,chennai
c022,t0027,2025-01-31,8204.0,wallet,8204,High,2025-01-31,1,Customer_022,Kochi,active,kochi
c062,t0028,2025-03-30,8241.0,netbanking,8241,High,2025-03-30,3,Customer_062,Trivandrum,active,Trivandrum
c005,t0029,2025-01-12,3830.0,netbanking,3830,Medium,2025-01-12,1,Customer_005,Bengaluru,active,Bengaluru
c063,t0030,2025-02-09,6246.0,netbanking,6246,Medium,2025-02-09,2,Customer_063,Chennai,active,Chennai
c142,t0031,2025-03-09,7171.0,wallet,7171,Medium,2025-03-09,3,Customer_142,Chennai,active,Chennai
c085,t0032,2025-02-15,4638.0,upi,4638,Medium,2025-02-15,2,Customer_085,Trivandrum,active,Trivandrum
c065,t0033,2025-01-30,3355.0,upi,3355,Medium,2025-01-30,1,Customer_065,Kochi,active,Kochi
c031,t0034,2025-03-10,3338.0,card,3338,Medium,2025-03-10,3,Customer_031,Trivandrum,active,Trivandrum
c124,t0035,2025-02-05,8795.0,wallet,8795,High,2025-02-05,2,Customer_124,Chennai,active,Chennai
c073,t0036,2025-01-13,5053.0,card,5053,Medium,2025-01-13,1,Customer_073,Bengaluru,active,Bengaluru
c093,t0037,2025-01-23,431.0,wallet,431,Low,2025-01-23,1,Customer_093,Chennai,active,Chennai
c033,t0038,2025-02-05,1093.0,wallet,1093,Low,2025-02-05,2,Customer_033,Kochi,active,Kochi
c075,t0039,2025-03-31,8242.0,cash,8242,High,2025-03-31,3,Customer_075,Pune,active,Pune
c004,t0040,2025-03-15,7890.0,netbanking,7890,High,2025-03-15,3,Customer_004,Trivandrum,active,Trivandrum
c113,t0041,2025-02-13,1041.0,upi,1041,Low,2025-02-13,2,Customer_113,Kochi,active,Kochi
c123,t0042,2025-01-15,6765.0,netbanking,6765,Medium,2025-01-15,1,Customer_123,Bengaluru,active,Bengaluru
c019,t0043,2025-03-15,1078.0,card,1078,Low,2025-03-15,3,Customer_019,Trivandrum,active,Trivandrum
c039,t0044,2025-03-14,1595.0,card,1595,Low,2025-03-14,3,Customer_039,Kochi,active,Kochi
c031,t0045,2025-03-13,9966.0,wallet,9966,High,2025-03-13,3,Customer_031,Trivandrum,active,Trivandrum
c058,t0046,2025-03-08,7581.0,netbanking,7581,High,2025-03-08,3,Customer_058,Trivandrum,active,trivandrm
c077,t0047,2025-03-17,5203.0,wallet,5203,Medium,2025-03-17,3,Customer_077,Hyderabad,inactive,Hyderabad
c016,t0048,2025-03-20,3604.0,card,3604,Medium,2025-03-20,3,Customer_016,Coimbatore,active,Coimbatore
c068,t0049,2025-03-26,2773.0,card,2773,Medium,2025-03-26,3,Customer_068,Kochi,active,Kochi
c045,t0050,2025-03-12,2764.0,cash,2764,Medium,2025-03-12,3,Customer_045,Coimbatore,inactive,Coimbatore
c105,t0051,2025-02-27,7899.0,upi,7899,High,2025-02-27,2,Customer_105,Bengaluru,active,bengaluru
c009,t0052,2025-01-30,4832.0,netbanking,4832,Medium,2025-01-30,1,Customer_009,Pune,active,PUNE
c019,t0053,2025-03-29,4534.0,wallet,4534,Medium,2025-03-29,3,Customer_019,Trivandrum,active,Trivandrum
c051,t0054,2025-02-24,9122.0,card,9122,High,2025-02-24,2,Customer_051,Trivandrum,active,Trivandrum
c039,t0055,2025-02-04,1369.0,cash,1369,Low,2025-02-04,2,Customer_039,Kochi,active,Kochi
c043,t0056,2025-02-09,9525.0,upi,9525,High,2025-02-09,2,Customer_043,Chennai,inactive,CHENNAI
c113,t0057,2025-01-16,5182.0,netbanking,5182,Medium,2025-01-16,1,Customer_113,Kochi,active,Kochi
c070,t0058,2025-03-06,8290.0,netbanking,8290,High,2025-03-06,3,Customer_070,Chennai,active,Chennai
c021,t0059,2025-03-18,7278.0,upi,7278,Medium,2025-03-18,3,Customer_021,Bengaluru,active,Bengaluru
c065,t0060,2025-01-04,3950.0,wallet,3950,Medium,2025-01-04,1,Customer_065,Kochi,active,Kochi
c001,t0061,2025-01-03,9641.0,cash,9641,High,2025-01-03,1,Customer_001,Trivandrum,active,TRIVANDRUM
c045,t0062,2025-03-02,7445.0,upi,7445,Medium,2025-03-02,3,Customer_045,Coimbatore,inactive,Coimbatore
c047,t0063,2025-03-16,8256.0,cash,8256,High,2025-03-16,3,Customer_047,Pune,active,Pune
c121,t0064,2025-02-14,5660.0,upi,5660,Medium,2025-02-14,2,Customer_121,Hyderabad,active,Hyderabad
c027,t0065,2025-01-21,6944.0,netbanking,6944,Medium,2025-01-21,1,Customer_027,Coimbatore,inactive,Coimbatore
c074,t0066,2025-03-26,9212.0,cash,9212,High,2025-03-26,3,Customer_074,Trivandrum,active,Trivandrum
c117,t0067,2025-01-12,4335.0,upi,4335,Medium,2025-01-12,1,Customer_117,Hyderabad,active,Hyderabad
c030,t0068,2025-02-21,218.0,wallet,218,Low,2025-02-21,2,Customer_030,Chennai,active,Chennai
c119,t0069,2025-02-22,3273.0,wallet,3273,Medium,2025-02-22,2,Customer_119,Coimbatore,inactive,Coimbatore
c093,t0070,2025-03-21,7442.0,cash,7442,Medium,2025-03-21,3,Customer_093,Chennai,active,Chennai
c053,t0071,2025-02-04,2346.0,upi,2346,Low,2025-02-04,2,Customer_053,Mumbai,active,MUMBAI
c113,t0072,2025-03-31,2189.0,cash,2189,Low,2025-03-31,3,Customer_113,Kochi,active,Kochi
c062,t0073,2025-01-21,9224.0,cash,9224,High,2025-01-21,1,Customer_062,Trivandrum,active,Trivandrum
c142,t0074,2025-02-22,3881.0,cash,3881,Medium,2025-02-22,2,Customer_142,Chennai,active,Chennai
c119,t0075,2025-01-16,2722.0,netbanking,2722,Medium,2025-01-16,1,Customer_119,Coimbatore,inactive,Coimbatore
c075,t0076,2025-03-07,7007.0,netbanking,7007,Medium,2025-03-07,3,Customer_075,Pune,active,Pune
c121,t0077,2025-02-01,9231.0,card,9231,High,2025-02-01,2,Customer_121,Hyderabad,active,Hyderabad
c099,t0078,2025-01-25,8527.0,card,8527,High,2025-01-25,1,Customer_099,Bengaluru,inactive,Bengaluru
c018,t0079,2025-02-05,5768.0,wallet,5768,Medium,2025-02-05,2,Customer_018,Hyderabad,active,Hyderabad
