id,product_name,category,price,quantity,region,timestamp,score
1000,Product_1000,Books,589.35,63,East,2025-11-16T20:51:06.222906,4.04
1001,Product_1001,Clothing,615.06,60,West,2025-11-16T20:51:07.222906,4.16
1002,Product_1002,Food,916.2,13,West,2025-11-16T20:51:08.222906,1.59
1003,Product_1003,Food,29.37,41,West,2025-11-16T20:51:09.222906,4.57
1004,Product_1004,Sports,660.34,83,North,2025-11-16T20:51:10.222906,3.15
1005,Product_1005,Clothing,181.41,25,East,2025-11-16T20:51:11.222906,4.17
1006,Product_1006,Clothing,277.66,20,North,2025-11-16T20:51:12.222906,4.92
1007,Product_1007,Books,607.2,27,North,2025-11-16T20:51:13.222906,4.97
1008,Product_1008,Toys,978.38,49,Central,2025-11-16T20:51:14.222906,4.24
1009,Product_1009,Food,66.82,70,East,2025-11-16T20:51:15.222906,1.96
1010,Product_1010,Books,17.27,32,West,2025-11-16T20:51:16.222906,3.38
1011,Product_1011,Food,364.62,55,North,2025-11-16T20:51:17.222906,2.63
1012,Product_1012,Books,196.83,56,Central,2025-11-16T20:51:18.222906,3.68
1013,Product_1013,Clothing,885.91,27,North,2025-11-16T20:51:19.222906,1.7
1014,Product_1014,Clothing,914.55,45,North,2025-11-16T20:51:20.222906,4.78
1015,Product_1015,Books,265.7,23,East,2025-11-16T20:51:21.222906,2.62
1016,Product_1016,Electronics,632.79,52,North,2025-11-16T20:51:22.222906,1.44
1017,Product_1017,Books,993.45,41,West,2025-11-16T20:51:23.222906,2.74
1018,Product_1018,Sports,204.3,67,East,2025-11-16T20:51:24.222906,3.26
1019,Product_1019,Food,398.52,7,West,2025-11-16T20:51:25.222906,4.99
1020,Product_1020,Clothing,94.22,51,Central,2025-11-16T20:51:26.222906,4.92
1021,Product_1021,Electronics,733.06,80,North,2025-11-16T20:51:27.222906,4.08
1022,Product_1022,Toys,44.46,9,Central,2025-11-16T20:51:28.222906,4.25
1023,Product_1023,Toys,584.71,41,North,2025-11-16T20:51:29.222906,2.42
1024,Product_1024,Toys,227.32,88,Central,2025-11-16T20:51:30.222906,3.86
1025,Product_1025,Books,884.72,89,East,2025-11-16T20:51:31.222906,3.45
1026,Product_1026,Toys,108.81,4,North,2025-11-16T20:51:32.222906,4.32
